author;date;genre;wikipedia;title;img;Musee;Type
Paul Cezanne;1839 – 1906;Post-Impressionism;https://en.wikipedia.org/wiki/Paul_Cezanne;The Black Marble Clock;https://upload.wikimedia.org/wikipedia/commons/1/1e/La_Pendule_noire%2C_par_Paul_C%C3%A9zanne.jpg;;Tableau
Paul Cezanne;1839 – 1906;Post-Impressionism;https://en.wikipedia.org/wiki/Paul_Cezanne;The Hanged Man's House;https://upload.wikimedia.org/wikipedia/commons/9/9d/Paul_C%C3%A9zanne_-_La_Maison_du_pendu.jpg;;Tableau
Paul Cezanne;1839 – 1906;Post-Impressionism;https://en.wikipedia.org/wiki/Paul_Cezanne;A Modern Olympia;https://upload.wikimedia.org/wikipedia/commons/a/a3/Paul_Cezanne%2C_A_Modern_Olympia%2C_c._1873-1874.jpg;Musée d'Orsay;Tableau
Paul Cezanne;1839 – 1906;Post-Impressionism;https://en.wikipedia.org/wiki/Paul_Cezanne;Bend in the Road Through the Forest;https://upload.wikimedia.org/wikipedia/commons/d/de/La_Route_tournante_en_sous-bois%2C_par_Paul_C%C3%A9zanne.jpg;Solomon R. Guggenheim Museum;Tableau
Paul Cezanne;1839 – 1906;Post-Impressionism;https://en.wikipedia.org/wiki/Paul_Cezanne;Mont Sainte-Victoire;https://upload.wikimedia.org/wikipedia/commons/7/7d/Paul_C%C3%A9zanne_-_Mont_Sainte-Victoire_and_the_Viaduct_of_the_Arc_River_Valley_%28Metropolitan_Museum_of_Art%29.jpg;Metropolitan Museum of Art;Tableau
Paul Cezanne;1839 – 1906;Post-Impressionism;https://en.wikipedia.org/wiki/Paul_Cezanne;L'Estaque;https://upload.wikimedia.org/wikipedia/commons/1/1d/L%27Estaque_aux_toits_rouges%2C_par_Paul_C%C3%A9zanne.jpg;;Tableau
Paul Cezanne;1839 – 1906;Post-Impressionism;https://en.wikipedia.org/wiki/Paul_Cezanne;Houses in Provence: The Riaux Valley near L'Estaque;https://upload.wikimedia.org/wikipedia/commons/3/30/Paul_C%C3%A9zanne_-_Houses_in_Provence-_The_Riaux_Valley_near_L%27Estaque_-_Google_Art_Project.jpg;;Tableau
Paul Cezanne;1839 – 1906;Post-Impressionism;https://en.wikipedia.org/wiki/Paul_Cezanne;The Bay of Marseilles view from L'Estaque;https://upload.wikimedia.org/wikipedia/commons/2/2f/Paul_C%C3%A9zanne_-_The_Bay_of_Marseilles%2C_Seen_from_L%27Estaque_-_Google_Art_Project.jpg;;Tableau
Paul Cezanne;1839 – 1906;Post-Impressionism;https://en.wikipedia.org/wiki/Paul_Cezanne;Jas de Bouffan;https://upload.wikimedia.org/wikipedia/commons/c/c0/Paul_C%C3%A9zanne_-_Chestnut_Trees_at_Jas_de_Bouffan_-_Google_Art_Project.jpg;Minneapolis Institute of Art;Tableau
Paul Cezanne;1839 – 1906;Post-Impressionism;https://en.wikipedia.org/wiki/Paul_Cezanne;Bather;https://upload.wikimedia.org/wikipedia/commons/e/e3/Paul_C%C3%A9zanne_-_Le_Grand_Baigneur_-_Google_Art_Project.jpg;Museum of Modern Art;Tableau
Georges Seurat;1859 – 1891;Post-Impressionism;https://en.wikipedia.org/wiki/Georges_Seurat;Landscape at Saint-Ouen;https://upload.wikimedia.org/wikipedia/commons/3/38/Georges_Seurat_-_Landscape_at_Saint-Ouen_PC_7.jpg;Metropolitan Museum of Art;Tableau
Georges Seurat;1859 – 1891;Post-Impressionism;https://en.wikipedia.org/wiki/Georges_Seurat;Flowers in a vase;https://upload.wikimedia.org/wikipedia/commons/6/68/Georges_Seurat%2C_c.1879-81%2C_Vase_of_Flowers%2C_oil_on_canvas%2C_46.3_x_38.5_cm%2C_Fogg_Museum.jpg;Fogg Museum;Tableau
