titre;type;mouvement;auteur;musee;startdate;endate;;;
Tempêtes et naufrages. De Vernet à Courbet;Tableau;Primitivism;Camille Pissarro;Musée de la Vie romantique: Hôtel Scheffer-Renan;2021-05-19T10:00:00+02:00;2021-09-12T18:00:00+02:00;;;
DALÍ: L’ÉNIGME SANS FIN;Tableau;Realism;El Greco;Atelier des Lumières;2021-05-19T11:00:00+02:00;2022-01-02T19:00:00+01:00;;;
DALÍ: L’ÉNIGME SANS FIN;Tableau;Realism;Henri Matisse;Atelier des Lumières;2021-05-19T11:00:00+02:00;2022-01-02T19:00:00+01:00;;;
DALÍ: L’ÉNIGME SANS FIN;Tableau;Realism;Camille Pissarro;Atelier des Lumières;2021-05-19T11:00:00+02:00;2022-01-02T19:00:00+01:00;;;
Livres d’artistes et autres curiosités de papier;;Illustration;;Médiathèque Violette Leduc ex Bibliothèque Faidherbe;2021-09-14T16:00:00+02:00;2021-10-02T18:00:00+02:00;;;
Exposition des dessins de Véronique Vernette;;Illustration;;Médiathèque Françoise Sagan;2021-09-04T10:00:00+02:00;2021-09-18T19:00:00+02:00;;;
Exposition À corps et à cris;Tableau;Renaissance;Andy Warhol;Galerie du Génie de la Bastille;2021-08-24T14:00:00+02:00;2021-08-29T20:00:00+02:00;;;
A l'école du sport avec Bercy Village;Photographie;contemporain;;Bercy Village;2021-06-26T00:00:00+02:00;2021-10-11T00:00:00+02:00;;;
Exposition Lapin Ouvrier;Photographie;contemporain;;Jardin Françoise-Héritier;2021-09-12T09:30:00+02:00;2021-09-12T19:00:00+02:00;;;
Exposition Ricochet « la nature nous émerveille »;;Illustration;;Bibliothèque Fessart;2021-09-01T13:00:00+02:00;2021-10-02T18:00:00+02:00;;;
Lancement de l'exposition photographique « Arbres en Île-de-;Photographie;contemporain;;Zone Sensible;2021-08-28T10:00:00+02:00;2021-08-28T18:00:00+02:00;;;
Discussion avec Hossein Valamanesh;Tableau;Art Contemporain;;Institut des Cultures d'Islam;2021-09-24T19:30:00+02:00;2021-09-24T21:00:00+02:00;;;
Exposition d'une œuvre d'Yvan Salomone: ateliers: rencontres;Tableau;Art Contemporain;;Médiathèque Marguerite Duras;2021-10-02T15:30:00+02:00;2021-12-02T16:30:00+01:00;;;
"Exposition ""Écran Total"" par Caroline Péron";;Illustration;;Le Pavillon des Canaux;2021-07-06T09:00:00+02:00;2021-08-31T23:00:00+02:00;;;
ANIMAL ART PARIS 2021;Tableau;Romanticism;Vincent van Gogh;Tribunes de Hippodrome d'Auteuil;2021-11-19T11:00:00+01:00;2021-11-21T19:00:00+01:00;;;
Photo Days présente : The Crown Letter;Photographie;contemporain;;Jardin Villemin;2021-08-01T09:00:00+02:00;2021-08-31T19:00:00+02:00;;;
Samuel Kirszenbaum: Public;Photographie;contemporain;;La caserne Napoléon;2021-08-01T01:00:00+02:00;2021-08-31T23:00:00+02:00;;;
Daniela Capaccioli;Tableau;Art Contemporain;;Parc Floral de Paris;2021-05-31T09:00:00+02:00;2021-10-01T20:00:00+02:00;;;
