author;date;genre;title;museum;type;imgURL
Vincent van Gogh;1853 ð 1890;Post-Impressionism;Worn Out;;Tableau;https://upload.wikimedia.org/wikipedia/commons/a/aa/Vincent_van_Gogh_-_Worn_Out_%28F997%29.jpg
Vincent van Gogh;1853 ð 1890;Post-Impressionism;Still Life with Open Bible, Extinguished Candle and NovelStill Life with Bible;;Tableau;https://upload.wikimedia.org/wikipedia/commons/c/c3/Stilleven_met_bijbel_-_s0008V1962_-_Van_Gogh_Museum.jpg
Vincent van Gogh;1853 ð 1890;Post-Impressionism;Skull of a Skeleton with Burning Cigarette;;Tableau;https://upload.wikimedia.org/wikipedia/commons/8/87/Vincent_van_Gogh_-_Head_of_a_skeleton_with_a_burning_cigarette_-_Google_Art_Project.jpg
Vincent van Gogh;1853 ð 1890;Post-Impressionism;Peasant Woman DiggingWoman with a Spade, Seen from Behind;Art Gallery of Ontario;Tableau;https://upload.wikimedia.org/wikipedia/commons/6/6e/Vincent_van_Gogh_-_Peasant_woman_digging.jpg
Vincent van Gogh;1853 ð 1890;Post-Impressionism;Le Moulin de Blute-FinLe Moulin de la GaletteMontmartre;Bridgestone Museum of Art;Tableau;https://upload.wikimedia.org/wikipedia/commons/0/05/Vincent_van_Gogh_-_Windmills_on_Montmartre_-_Google_Art_Project.jpg
Vincent van Gogh;1853 ð 1890;Post-Impressionism;Courtesan;Eisen;Tableau;https://upload.wikimedia.org/wikipedia/commons/a/af/Van_Gogh_-_la_courtisane.jpg
Vincent van Gogh;1853 ð 1890;Post-Impressionism;Portrait of Pðre Tanguy,;Musðe Rodin;Tableau;https://upload.wikimedia.org/wikipedia/commons/5/5f/Van_Gogh_-_Portrait_of_Pere_Tanguy_1887-8.JPG
Vincent van Gogh;1853 ð 1890;Post-Impressionism;The Sower with Setting Sun;;Tableau;https://upload.wikimedia.org/wikipedia/commons/4/4d/De_zaaier_-_s0029V1962_-_Van_Gogh_Museum.jpg
Vincent van Gogh;1853 ð 1890;Post-Impressionism;Fishing Boats on the Beach at Saintes-Maries;;Tableau;https://upload.wikimedia.org/wikipedia/commons/b/bb/Vissersboten_op_het_strand_van_Les_Saintes-Maries-de-la-Mer_-_s0028V1962_-_Van_Gogh_Museum.jpg
Vincent van Gogh;1853 ð 1890;Post-Impressionism;Bedroom in Arles;;Tableau;https://upload.wikimedia.org/wikipedia/commons/7/76/Vincent_van_Gogh_-_De_slaapkamer_-_Google_Art_Project.jpg
Paul Cezanne;1839 ð 1906;Post-Impressionism;The Black Marble Clock;;Tableau;https://upload.wikimedia.org/wikipedia/commons/1/1e/La_Pendule_noire%2C_par_Paul_C%C3%A9zanne.jpg
Paul Cezanne;1839 ð 1906;Post-Impressionism;The Hanged Man's House;;Tableau;https://upload.wikimedia.org/wikipedia/commons/9/9d/Paul_C%C3%A9zanne_-_La_Maison_du_pendu.jpg
Paul Cezanne;1839 ð 1906;Post-Impressionism;A Modern Olympia;Musðe d'Orsay;Tableau;https://upload.wikimedia.org/wikipedia/commons/a/a3/Paul_Cezanne%2C_A_Modern_Olympia%2C_c._1873-1874.jpg
Paul Cezanne;1839 ð 1906;Post-Impressionism;Bend in the Road Through the Forest;Solomon R. Guggenheim Museum;Tableau;https://upload.wikimedia.org/wikipedia/commons/d/de/La_Route_tournante_en_sous-bois%2C_par_Paul_C%C3%A9zanne.jpg
Paul Cezanne;1839 ð 1906;Post-Impressionism;Mont Sainte-Victoire;Metropolitan Museum of Art;Tableau;https://upload.wikimedia.org/wikipedia/commons/7/7d/Paul_C%C3%A9zanne_-_Mont_Sainte-Victoire_and_the_Viaduct_of_the_Arc_River_Valley_%28Metropolitan_Museum_of_Art%29.jpg
